"","Date","Opponent","Location","Score","Decision"
"1","3/18/2019","Marian (Ind.) *","A","2-3","L"
"2","3/19/2019","Marian (Ind.) *","A","9-0","W"
"3","3/19/2019","Marian (Ind.) *","A","3-10","L"
"4","3/23/2019","St. Francis (Ind.) *","A","9-5","W"
"5","3/23/2019","St. Francis (Ind.) *","A","3-6","L"
"6","3/25/2019","Mount Vernon Nazarene (Ohio) *","H","3-11","L"
"7","3/26/2019","Mount Vernon Nazarene (Ohio) *","H","9-1","W"
"8","3/26/2019","Mount Vernon Nazarene (Ohio) *","H","6-10","L"
"9","3/28/2019","Spring Arbor (Mich.) *","A","1-3","L"
"10","4/2/2019","Spring Arbor (Mich.) *","A","5-3","W"
"11","4/2/2019","Spring Arbor (Mich.) *","A","6-17","L"
"12","4/3/2019","St. Francis (Ind.) *","A","3-7","L"
"13","4/5/2019","Goshen (Ind.) *","H","6-2","W"
"14","4/6/2019","Goshen (Ind.) *","H","13-0","W"
"15","4/6/2019","Goshen (Ind.) *","H","5-4","W"
"16","4/9/2019","Grace (Ind.) *","A","20-16","W"
"17","4/12/2019","Bethel (Ind.) *","H","15-5","W"
"18","4/13/2019","Bethel (Ind.) *","H","10-2","W"
"19","4/13/2019","Bethel (Ind.) *","H","10-7","W"
"20","4/16/2019","Grace (Ind.) *","A","1-3","L"
"21","4/16/2019","Grace (Ind.) *","A","11-1","W"
"22","4/19/2019","Taylor (Ind.) *","A","6-4(10)","W"
"23","4/22/2019","Taylor (Ind.) *","A","5-6","L"
"24","4/22/2019","Taylor (Ind.) *","A","14-1","W"
"25","4/26/2019","Huntington (Ind.) *","H","2-7","L"
"26","4/26/2019","Huntington (Ind.) *","H","7-4","W"
"27","4/29/2019","Huntington (Ind.) *","N","5-7(10)","L"
